numero,type,soustype,adresse,code_postal,ville,arrondissement,conseilquartier,datedecl,anneedecl,moisdecl,prefixe,intervenant,id_dmr,geo_shape,geo_point_2d,mois_annee_decla
62500,Propreté,Propreté des équipements de collecte des déchets : Poubelle de rue sale ou débordante,"7 Rue Jean Fautrier, 75013 PARIS",75013,Paris 13,13,MASSENA - JEANNE D'ARC,2023-07-25,2023,7,Android,DPE-STPP-DT,G2023G062500,"{'type': 'Feature', 'geometry': {'coordinates': [2.3704419140917894, 48.82537841664932], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3704419140917894, 'lat': 48.82537841664932}",2023-07
63152,Objets abandonnés,Autres objets encombrants abandonnés,"8 Boulevard Edgar Quinet, 75014 PARIS",75014,Paris 14,14,MONTPARNASSE - RASPAIL,2023-07-25,2023,7,IOPage DMR Paris.fr application,Ramen,A2023G063152,"{'type': 'Feature', 'geometry': {'coordinates': [2.3294086451070672, 48.839836119347254], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3294086451070672, 'lat': 48.839836119347254}",2023-07
62590,Objets abandonnés,Autres objets encombrants abandonnés,"59 Boulevard Raspail, 75006 PARIS",75006,Paris 06,6,RENNES,2023-07-25,2023,7,Android,Ramen,G2023G062590,"{'type': 'Feature', 'geometry': {'coordinates': [2.32762241397866, 48.849887847331665], 'type': 'Point'}, 'properties': {}}","{'lon': 2.32762241397866, 'lat': 48.849887847331665}",2023-07
64981,Propreté,Propreté des équipements de collecte des déchets : Poubelle de rue sale ou débordante,"150 avenue d'Italie, 75013 PARIS",75013,Paris 13,13,ITALIE - PEUPLIERS - RUNGIS,2023-07-26,2023,7,Android,DPE-STPP-DT,G2023G064981,"{'type': 'Feature', 'geometry': {'coordinates': [2.3580338949290023, 48.8224868763423], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3580338949290023, 'lat': 48.8224868763423}",2023-07
71268,"Graffitis, tags, affiches et autocollants",Panneaux publicitaires (Clear Channel),"144 Rue Raymond Losserand, 75014 PARIS",75014,Paris 14,14,DIDOT - PORTE DE VANVES,2023-07-29,2023,7,Android,MUI,G2023G071268,"{'type': 'Feature', 'geometry': {'coordinates': [2.3129510874052284, 48.83135223333578], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3129510874052284, 'lat': 48.83135223333578}",2023-07
70849,"Autos, motos, vélos, trottinettes...",[] Automobile ou autre véhicule motorisé en stationnement gênant U2,"23 rue François Ier, 75008 PARIS",75008,Paris 08,8,TRIANGLE D'OR,2023-07-29,2023,7,Page DMR Paris.fr,DPMP-Divisions,S2023G070849,"{'type': 'Feature', 'geometry': {'coordinates': [2.3049702641826935, 48.86772155698285], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3049702641826935, 'lat': 48.86772155698285}",2023-07
63994,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","3 Rue Titon, 75011 PARIS",75011,Paris 11,11,NATION - ALEXANDRE DUMAS,2023-07-26,2023,7,Android,graffitis,G2023G063994,"{'type': 'Feature', 'geometry': {'coordinates': [2.386511803227733, 48.85087966842991], 'type': 'Point'}, 'properties': {}}","{'lon': 2.386511803227733, 'lat': 48.85087966842991}",2023-07
69071,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","100 Avenue de Flandre, 75019 PARIS",75019,Paris 19,19,FLANDRE - AUBERVILLIERS,2023-07-28,2023,7,Android,graffitis,G2023G069071,"{'type': 'Feature', 'geometry': {'coordinates': [2.3771107194268315, 48.89081191948742], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3771107194268315, 'lat': 48.89081191948742}",2023-07
64184,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","24 Rue Voltaire, 75011 PARIS",75011,Paris 11,11,NATION - ALEXANDRE DUMAS,2023-07-26,2023,7,Android,graffitis,G2023G064184,"{'type': 'Feature', 'geometry': {'coordinates': [2.392711877455224, 48.85276794341709], 'type': 'Point'}, 'properties': {}}","{'lon': 2.392711877455224, 'lat': 48.85276794341709}",2023-07
69255,Propreté,[] Patrouille propreté Fonctionnelle,"25 Rue Paul Meurice, 75020 PARIS",75020,Paris 20,20,TELEGRAPHE - PELLEPORT - SAINT-FARGEAU,2023-07-28,2023,7,Android,DPE-STPP-Fonctionnelle,G2023G069255,"{'type': 'Feature', 'geometry': {'coordinates': [2.411407231999428, 48.87507247860458], 'type': 'Point'}, 'properties': {}}","{'lon': 2.411407231999428, 'lat': 48.87507247860458}",2023-07
71639,"Graffitis, tags, affiches et autocollants",Graffitis sur rideau métallique,"18 Avenue de Saint-Ouen, 75018 PARIS",75018,Paris 18,18,GRANDES CARRIERES - CLICHY,2023-07-29,2023,7,IOPage DMR Paris.fr application,DPE-STPP-DT,A2023G071639,"{'type': 'Feature', 'geometry': {'coordinates': [2.3259875770761775, 48.88837051295373], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3259875770761775, 'lat': 48.88837051295373}",2023-07
68549,Éclairage / Électricité,Éclairage public éteint la nuit,"10 Rue Pierre Guérin, 75016 PARIS",75016,Paris 16,16,AUTEUIL NORD,2023-07-27,2023,7,IOPage DMR Paris.fr application,CIELIS,A2023G068549,"{'type': 'Feature', 'geometry': {'coordinates': [2.266557931759797, 48.84854125870422], 'type': 'Point'}, 'properties': {}}","{'lon': 2.266557931759797, 'lat': 48.84854125870422}",2023-07
71442,Objets abandonnés,Autres objets encombrants abandonnés,"10 rue Labois-Rouillon, 75019 PARIS",75019,Paris 19,19,FLANDRE - AUBERVILLIERS,2023-07-29,2023,7,Page DMR Paris.fr,Ramen,S2023G071442,"{'type': 'Feature', 'geometry': {'coordinates': [2.372430802055757, 48.89355850114071], 'type': 'Point'}, 'properties': {}}","{'lon': 2.372430802055757, 'lat': 48.89355850114071}",2023-07
66591,"Graffitis, tags, affiches et autocollants","Affiches, autocollants ou graffitis sur mobilier : Autre mobilier urbain","15 Cours de Vincennes, 75020 PARIS",75020,Paris 20,20,PLAINE LAGNY,2023-07-27,2023,7,Android,graffitis,G2023G066591,"{'type': 'Feature', 'geometry': {'coordinates': [2.4003078932333, 48.84829330370476], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4003078932333, 'lat': 48.84829330370476}",2023-07
70173,Objets abandonnés,Autres objets encombrants abandonnés,"10 Rue de Châteaudun, 75009 PARIS",75009,Paris 09,9,PIGALLE - MARTYRS,2023-07-28,2023,7,Android,Ramen,G2023G070173,"{'type': 'Feature', 'geometry': {'coordinates': [2.34095096640735, 48.87603378163171], 'type': 'Point'}, 'properties': {}}","{'lon': 2.34095096640735, 'lat': 48.87603378163171}",2023-07
